154611068,070111409,80,20162
154611069,070111409,92,20162
154611071,070111409,87,20162
154611072,070111409,89,20162
154611073,070111409,83,20162
154611074,070111409,89,20162
154611076,070111409,91,20162
154611084,070111409,90,20162
154611086,070111409,91,20162
154611088,070111409,90,20162
154611089,070111409,91,20162
154611092,070111409,83,20162
154611094,070111409,91,20162
154611097,070111409,91,20162
154611098,070111409,90,20162
154611103,070111409,86,20162
154611104,070111409,93,20162
154611105,070111409,88,20162
154611106,070111409,88,20162
154611107,070111409,87,20162
154611113,070111409,87,20162
154611115,070111409,88,20162
154611116,070111409,83,20162
154611117,070111409,89,20162
154611121,070111409,90,20162
154611122,070111409,71,20162
154611123,070111409,89,20162
154611124,070111409,87,20162
154611125,070111409,90,20162
154611126,070111409,85,20162
154611135,070111409,79,20162
154611136,070111409,87,20162
154611137,070111409,88,20162
154611139,070111409,89,20162
154611140,070111409,88,20162
154611149,070111409,90,20162
154611154,070111409,86,20162
154611155,070111409,86,20162
154611050,070111409,88,20162
154611051,070111409,87,20162
154611054,070111409,88,20162
154611057,070111409,85,20162
154611059,070111409,92,20162
154611061,070111409,92,20162
154611063,070111409,91,20162
154611065,070111409,92,20162
154611066,070111409,90,20162
154611067,070111409,87,20162
154611001,080811302,84,20151
154611002,080811302,80,20151
154611004,080811302,85,20151
154611006,080811302,85,20151
154611009,080811302,87,20151
154611010,080811302,89,20151
154611012,080811302,85,20151
154611013,080811302,92,20151
154611015,080811302,90,20151
154611016,080811302,85,20151
154611018,080811302,84,20151
154611020,080811302,82,20151
154611005,080811407,93,20151
154611105,081211395,82,20162
154611108,081211395,85,20162
154611110,081211395,83,20162
154611111,081211395,85,20162
154611112,081211395,84,20162
154611114,081211395,88,20162
154611115,081211395,93,20162
154611116,081211395,81,20162
154611119,081211395,86,20162
154611121,081211395,90,20162
154611125,081211395,85,20162
154611126,081211395,80,20162
154611127,081211395,84,20162
154611128,081211395,84,20162
154611130,081211395,83,20162
154611131,081211395,90,20162
154611132,081211395,87,20162
154611133,081211395,87,20162
154611134,081211395,84,20162
154611135,081211395,84,20162
154611136,081211395,90,20162
154611137,081211395,90,20162
154611138,081211395,90,20162
154611002,080811301,90,20162
154611003,080811301,92,20162
154611005,080811301,88,20162
154611007,080811301,90,20162
154611009,080811301,80,20162
154611011,080811301,90,20162
154611012,080811301,80,20162
154611013,080811301,93,20162
154611015,080811301,93,20162
154611016,080811301,89,20162
154611017,080811301,85,20162
154611018,080811301,92,20162
154611019,080811301,88,20162
154611030,081211492,86,20151
154611105,081211492,90,20151
154611106,081211492,88,20151
154611107,081211492,92,20151
154611108,081211492,91,20151
154611109,081211492,87,20151
154611114,081211492,90,20151
154611118,081211492,86,20151
154611120,081211492,65,20151
154611121,081211492,90,20151
154611125,081211492,94,20151
154611126,081211492,90,20151
154611128,081211492,93,20151
154611130,081211492,91,20151
154611131,081211492,95,20151
154611133,081211492,92,20151
154611140,081211492,94,20151
154611143,081211492,91,20151
154611147,081211492,89,20151
154611150,081211492,91,20151
154611154,081211492,93,20151
154611155,081211492,90,20151
154611158,081211492,91,20151
154611163,081211492,93,20151
154611001,080811408,83,20162
154611008,080811408,90,20162
154611009,080811408,84,20162
154611010,080811408,87,20162
154611014,080811408,93,20162
154611056,080811408,88,20162
154611058,080811408,94,20162
154611166,080811408,91,20162
154611024,080911301,86,20151
154611025,080911301,90,20151
154611026,080911301,88,20151
154611080,080911301,88,20151
154611021,080911303,88,20151
154611024,080911303,89,20151
154611025,080911303,86,20151
154611026,080911303,82,20151
154611027,080911303,86,20151
154611056,080911303,83,20151
154611071,080911303,90,20151
154611003,080811405,86,20151
154611006,080811405,80,20151
154611007,080811405,85,20151
154611012,080811405,82,20151
154611019,080811405,82,20151
154611165,080811405,78,20151
154611166,080811405,86,20151
154611002,080811406,83,20151
154611005,080811406,90,20151
154611010,080811406,85,20151
154611011,080811406,95,20151
154611012,080811406,90,20151
154611013,080811406,90,20151
154611015,080811406,92,20151
154611059,080811406,83,20151
154611061,080811406,93,20151
154611064,080811406,82,20151
154611065,080811406,88,20151
154611084,080811406,96,20151
154611002,080811407,92,20151
