144611001,000001804,A,20151
144611002,000001804,A,20141
144611003,000001804,A,20141
144611004,000001804,A+,20141
144611005,000001804,A+,20141
144611007,000001804,A,20141
144611008,000001804,A,20141
144611010,000001804,A,20141
144611011,000001804,A,20141
144611012,000001804,A,20141
144611015,000001804,A,20141
144611016,000001804,B+,20141
144611020,000001804,A,20141
144611021,000001804,A,20141
144611022,000001804,A,20141
144611023,000001804,A,20141
144611024,000001804,A,20141
144611025,000001804,A,20141
144611027,000001804,A,20141
144611028,000001804,A,20141
144611029,000001804,A,20141
144611030,000001804,A+,20151
144611031,000001804,A,20141
144611032,000001804,A,20141
144611034,000001804,A,20141
144611035,000001804,A,20141
144611036,000001804,A,20141
144611044,000001804,A,20141
144611049,000001804,B,20141
144611050,000001804,B,20141
144611053,000001804,A,20151
144611057,000001804,A,20141
144611058,000001804,A,20141
144611060,000001804,A,20141
144611065,000001804,A,20141
144611068,000001804,A,20151
144611071,000001804,A,20141
144611072,000001804,A-,20141
144611075,000001804,A,20141
144611078,000001804,A,20151
144611081,000001804,A+,20141
144611084,000001804,A,20141
144611085,000001804,A,20141
144611088,000001804,A,20141
144611089,000001804,A,20141
144611092,000001804,A+,20141
144611093,000001804,A,20141
144611094,000001804,A,20141
144611095,000001804,A-,20141
144611100,000001804,A,20141
144611102,000001804,A,20151
144611103,000001804,A+,20141
144611104,000001804,A+,20141
144611111,000001804,A,20141
144611112,000001804,A-,20141
144611116,000001804,A,20141
144611123,000001804,A,20141
144611124,000001804,A,20141
144611128,000001804,A,20141
144611129,000001804,A,20141
144611130,000001804,A,20141
144611132,000001804,A,20141
144611133,000001804,A,20141
144611134,000001804,A,20141
144611135,000001804,A,20141
144611138,000001804,A,20141
144611139,000001804,A,20141
144611140,000001804,A,20141
144611141,000001804,A,20151
144611142,000001804,A,20141
144611143,000001804,B,20141
144611144,000001804,A,20141
144611145,000001804,A,20141
144611146,000001804,A,20141
144611147,000001804,A,20141
144611149,000001804,A,20141
144611150,000001804,A,20141
144611151,000001804,A,20141
144611152,000001804,A,20141
144611153,000001804,A,20141
144611154,000001804,A,20141
124611002,010111102,85,20132
124611009,010111102,89,20132
124611010,010111102,87,20132
124611040,010111102,90,20132
124611062,010111102,89,20132
124611090,010111102,95,20132
124611142,010111102,92,20132
124611154,010111102,88,20132
124611159,010111102,91,20132
124611167,010111102,87,20132
124611172,010111102,97,20132
124611173,010111102,88,20132
144611048,010111101,86,20152
144611049,010111101,83,20152
144611051,010111101,81,20152
144611052,010111101,80,20152
144611053,010111101,77,20152
144611054,010111101,79,20152
144611055,010111101,86,20152
144611056,010111101,73,20152
144611057,010111101,85,20152
144611058,010111101,86,20152
144611059,010111101,87,20152
144611060,010111101,87,20152
144611061,010111101,82,20152
144611062,010111101,87,20152
